x,y
15977.0,9004.0
15977.0,9003.0
15979.0,9003.0
15979.0,9002.0
15980.0,9002.0
15980.0,9001.0
15981.0,9001.0
15981.0,9000.0
15984.0,9000.0
15984.0,8999.0
15986.0,8999.0
15986.0,9001.0
15987.0,9001.0
15987.0,9002.0
15988.0,9002.0
15988.0,9003.0
15992.0,9003.0
15992.0,9002.0
15995.0,9002.0
15995.0,9001.0
15997.0,9001.0
15997.0,9000.0
15998.0,9000.0
15998.0,8997.0
15997.0,8997.0
15997.0,8996.0
15996.0,8996.0
15996.0,8993.0
15997.0,8993.0
15997.0,8992.0
16003.0,8992.0
16003.0,8991.0
16006.0,8991.0
16006.0,8990.0
16007.0,8990.0
16007.0,8988.0
16006.0,8988.0
16006.0,8981.0
16007.0,8981.0
16007.0,8980.0
16008.0,8980.0
16008.0,8979.0
16009.0,8979.0
16009.0,8977.0
16010.0,8977.0
16010.0,8965.0
16009.0,8965.0
16009.0,8964.0
16008.0,8964.0
16008.0,8963.0
16007.0,8963.0
16007.0,8961.0
16008.0,8961.0
16008.0,8959.0
16009.0,8959.0
16009.0,8955.0
16008.0,8955.0
16008.0,8954.0
16007.0,8954.0
16007.0,8953.0
16006.0,8953.0
16006.0,8952.0
15999.0,8952.0
15999.0,8951.0
15994.0,8951.0
15994.0,8950.0
15993.0,8950.0
15993.0,8948.0
15994.0,8948.0
15994.0,8946.0
15993.0,8946.0
15993.0,8945.0
15992.0,8945.0
15992.0,8944.0
15990.0,8944.0
15990.0,8943.0
15989.0,8943.0
15989.0,8942.0
15987.0,8942.0
15987.0,8944.0
15988.0,8944.0
15988.0,8946.0
15989.0,8946.0
15989.0,8949.0
15987.0,8949.0
15987.0,8948.0
15984.0,8948.0
15984.0,8947.0
15979.0,8947.0
15979.0,8946.0
15975.0,8946.0
15975.0,8945.0
15976.0,8945.0
15976.0,8944.0
15977.0,8944.0
15977.0,8943.0
15978.0,8943.0
15978.0,8942.0
15975.0,8942.0
15975.0,8941.0
15971.0,8941.0
15971.0,8942.0
15966.0,8942.0
15966.0,8943.0
15960.0,8943.0
15960.0,8942.0
15956.0,8942.0
15956.0,8943.0
15955.0,8943.0
15955.0,8944.0
15956.0,8944.0
15956.0,8945.0
15958.0,8945.0
15958.0,8946.0
15960.0,8946.0
15960.0,8947.0
15962.0,8947.0
15962.0,8948.0
15963.0,8948.0
15963.0,8949.0
15962.0,8949.0
15962.0,8950.0
15961.0,8950.0
15961.0,8951.0
15955.0,8951.0
15955.0,8950.0
15950.0,8950.0
15950.0,8951.0
15947.0,8951.0
15947.0,8952.0
15944.0,8952.0
15944.0,8951.0
15939.0,8951.0
15939.0,8950.0
15938.0,8950.0
15938.0,8949.0
15935.0,8949.0
15935.0,8950.0
15934.0,8950.0
15934.0,8951.0
15930.0,8951.0
15930.0,8952.0
15927.0,8952.0
15927.0,8951.0
15921.0,8951.0
15921.0,8950.0
15915.0,8950.0
15915.0,8949.0
15914.0,8949.0
15914.0,8947.0
15913.0,8947.0
15913.0,8945.0
15912.0,8945.0
15912.0,8944.0
15911.0,8944.0
15911.0,8943.0
15910.0,8943.0
15910.0,8942.0
15909.0,8942.0
15909.0,8941.0
15905.0,8941.0
15905.0,8940.0
15892.0,8940.0
15892.0,8941.0
15889.0,8941.0
15889.0,8942.0
15888.0,8942.0
15888.0,8944.0
15887.0,8944.0
15887.0,8947.0
15886.0,8947.0
15886.0,8948.0
15885.0,8948.0
15885.0,8949.0
15884.0,8949.0
15884.0,8950.0
15882.0,8950.0
15882.0,8949.0
15879.0,8949.0
15879.0,8950.0
15874.0,8950.0
15874.0,8945.0
15873.0,8945.0
15873.0,8944.0
15872.0,8944.0
15872.0,8943.0
15869.0,8943.0
15869.0,8944.0
15865.0,8944.0
15865.0,8945.0
15861.0,8945.0
15861.0,8946.0
15859.0,8946.0
15859.0,8948.0
15858.0,8948.0
15858.0,8954.0
15859.0,8954.0
15859.0,8956.0
15860.0,8956.0
15860.0,8957.0
15864.0,8957.0
15864.0,8958.0
15863.0,8958.0
15863.0,8959.0
15864.0,8959.0
15864.0,8960.0
15865.0,8960.0
15865.0,8961.0
15864.0,8961.0
15864.0,8962.0
15863.0,8962.0
15863.0,8961.0
15861.0,8961.0
15861.0,8960.0
15860.0,8960.0
15860.0,8959.0
15858.0,8959.0
15858.0,8958.0
15853.0,8958.0
15853.0,8959.0
15851.0,8959.0
15851.0,8962.0
15850.0,8962.0
15850.0,8963.0
15849.0,8963.0
15849.0,8964.0
15848.0,8964.0
15848.0,8965.0
15847.0,8965.0
15847.0,8972.0
15846.0,8972.0
15846.0,8973.0
15844.0,8973.0
15844.0,8974.0
15843.0,8974.0
15843.0,8975.0
15842.0,8975.0
15842.0,8976.0
15839.0,8976.0
15839.0,8977.0
15838.0,8977.0
15838.0,8978.0
15837.0,8978.0
15837.0,8976.0
15836.0,8976.0
15836.0,8974.0
15835.0,8974.0
15835.0,8972.0
15834.0,8972.0
15834.0,8971.0
15828.0,8971.0
15828.0,8972.0
15825.0,8972.0
15825.0,8973.0
15824.0,8973.0
15824.0,8975.0
